DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2013-07-26 09:58:08",ERROR,sms,"wyslano sms, numer:  tresc: Zamówienie nr: 46 zostało przyjęte do realizacji  blad:ERROR: Authorisation failed ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-16 11:38:13",ERROR,sms,"wyslano sms, numer:  tresc: Zamówienie nr: 4 zostało przyjęte do realizacji  blad:ERROR: Authorisation failed ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 13:40:18",ERROR,sms,"wyslano sms, numer:  tresc: Twoje zamówienie numer: 13 zostało przyjęte, status: W kolejce blad:ERROR: Authorisation failed ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 13:52:53",ERROR,sms,"wyslano sms, numer:  tresc: Twoje zamówienie numer: 14 zostało przyjęte, status: W kolejce blad:ERROR: Authorisation failed ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 14:02:17",ERROR,sms,"wyslano sms, numer:  tresc: Twoje zamówienie numer: 15 zostało przyjęte, status: W kolejce blad:ERROR: Lista odbiorców nie może być pusta! ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 14:05:51",ERROR,sms,"wyslano sms, numer: 886345133 tresc: Twoje zamówienie numer: 16 zostało przyjęte, status: W kolejce blad:ERROR: Nieprawidłowa nazwa nadawcy ",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 14:08:00",ERROR,sms,"wyslano sms, numer: 886345133 tresc: Twoje zamówienie numer: 17 zostało przyjęte, status: W kolejce blad:ERROR: Nieprawidłowa nazwa nadawcy  nadawca auto-gatzka odbiorca: 886345133",73,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 14:17:01",DEBUG,sms,"wyslano sms, numer: 886345133 tresc: Twoje zamówienie numer: 18 zostało przyjęte, status: W kolejce rezultat:48886345133 0.16 QUEUE ",66,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-08-22 14:27:46",DEBUG,sms,"wyslano sms, numer: 886345133 tresc: Twoje zamówienie numer: 20 zostało przyjęte, status: W kolejce rezultat:48886345133 0.16 QUEUE ",67,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 08:13:32",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 21 zostało przyjęte, status: Przetwarzane blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 11:29:06",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 25 zostało przyjęte, status: Przetwarzane blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 11:29:18",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 26 zostało przyjęte, status: Przetwarzane blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 11:29:34",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 27 zostało przyjęte, status: Przetwarzane blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 11:30:20",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 28 zostało przyjęte, status: Przetwarzane blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
"2013-09-19 11:31:16",ERROR,sms,"wyslano sms, numer: 345345345 tresc: Twoje zamówienie numer: 29 zostało przyjęte, status: W kolejce blad:ERROR: Brak prawidłowych numerów telefonu  nadawca  odbiorca: 345345345",76,/home/demostrona/domains/demo.stronazen.pl/public_html/gackade/system/library/extra/opencartsms.php
